table	column	relevance	reason
facilities	state	Supporting	Geographic or site-level context that may be associated with study continuation or termination.
facilities	zip	Supporting	Geographic or site-level context that may be associated with study continuation or termination.
facilities	country	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
facilities	latitude	Supporting	Geographic or site-level context that may be associated with study continuation or termination.
facilities	longitude	Supporting	Geographic or site-level context that may be associated with study continuation or termination.
facility_contacts	id	Core	Sponsor, responsible party, investigator, contact, or site information.
facility_contacts	nct_id	Core	Sponsor, responsible party, investigator, contact, or site information.
facility_contacts	facility_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
facility_contacts	contact_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
facility_contacts	name	Core	Sponsor, responsible party, investigator, contact, or site information.
facility_contacts	email	Core	Sponsor, responsible party, investigator, contact, or site information.
facility_contacts	phone	Core	Sponsor, responsible party, investigator, contact, or site information.
facility_contacts	phone_extension	Core	Sponsor, responsible party, investigator, contact, or site information.
facility_investigators	id	Core	Sponsor, responsible party, investigator, contact, or site information.
facility_investigators	nct_id	Core	Sponsor, responsible party, investigator, contact, or site information.
facility_investigators	facility_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
facility_investigators	role	Core	Sponsor, responsible party, investigator, contact, or site information.
facility_investigators	name	Core	Sponsor, responsible party, investigator, contact, or site information.
id_information	id	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
id_information	nct_id	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
id_information	id_source	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
id_information	id_value	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
id_information	id_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
id_information	id_type_description	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
id_information	id_link	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
intervention_other_names	id	Core	Intervention, treatment group, or intervention classification associated with the study.
intervention_other_names	nct_id	Core	Intervention, treatment group, or intervention classification associated with the study.
intervention_other_names	intervention_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
intervention_other_names	name	Core	Intervention, treatment group, or intervention classification associated with the study.
interventions	id	Core	Intervention, treatment group, or intervention classification associated with the study.
interventions	nct_id	Core	Intervention, treatment group, or intervention classification associated with the study.
interventions	intervention_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
interventions	name	Core	Intervention, treatment group, or intervention classification associated with the study.
interventions	description	Core	Intervention, treatment group, or intervention classification associated with the study.
ipd_information_types	id	Context	Available in the source table; retain for exploratory analysis or linkage.
ipd_information_types	nct_id	Context	Available in the source table; retain for exploratory analysis or linkage.
ipd_information_types	name	Context	Available in the source table; retain for exploratory analysis or linkage.
keywords	id	Core	Condition or topic associated with the study.
keywords	nct_id	Core	Condition or topic associated with the study.
keywords	name	Core	Condition or topic associated with the study.
keywords	downcase_name	Core	Condition or topic associated with the study.
links	id	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
links	nct_id	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
links	url	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
links	description	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
milestones	id	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
milestones	nct_id	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
milestones	result_group_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
milestones	ctgov_group_code	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
milestones	title	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
milestones	period	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
milestones	description	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
milestones	count	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
milestones	milestone_description	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
milestones	count_units	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
outcome_analyses	id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	nct_id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	outcome_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcome_analyses	non_inferiority_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcome_analyses	non_inferiority_description	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	param_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcome_analyses	param_value	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	dispersion_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcome_analyses	dispersion_value	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	p_value_modifier	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	p_value	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	ci_n_sides	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	ci_percent	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	ci_lower_limit	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	ci_upper_limit	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	ci_upper_limit_na_comment	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	p_value_description	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	method	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	method_description	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	estimate_description	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	groups_description	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcome_analyses	other_analysis_description	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	ci_upper_limit_raw	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	ci_lower_limit_raw	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analyses	p_value_raw	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analysis_groups	id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analysis_groups	nct_id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_analysis_groups	outcome_analysis_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcome_analysis_groups	result_group_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcome_analysis_groups	ctgov_group_code	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcome_counts	id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_counts	nct_id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_counts	outcome_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcome_counts	result_group_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcome_counts	ctgov_group_code	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcome_counts	scope	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_counts	units	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_counts	count	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_measurements	id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_measurements	nct_id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_measurements	outcome_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcome_measurements	result_group_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcome_measurements	ctgov_group_code	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcome_measurements	classification	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_measurements	category	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_measurements	title	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_measurements	description	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_measurements	units	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_measurements	param_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcome_measurements	param_value	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_measurements	param_value_num	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_measurements	dispersion_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcome_measurements	dispersion_value	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_measurements	dispersion_value_num	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_measurements	dispersion_lower_limit	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_measurements	dispersion_upper_limit	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_measurements	explanation_of_na	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_measurements	dispersion_upper_limit_raw	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcome_measurements	dispersion_lower_limit_raw	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcomes	id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcomes	nct_id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcomes	outcome_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcomes	title	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcomes	description	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcomes	time_frame	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcomes	population	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcomes	anticipated_posting_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcomes	anticipated_posting_month_year	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcomes	units	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcomes	units_analyzed	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
outcomes	dispersion_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
outcomes	param_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
overall_officials	id	Core	Sponsor, responsible party, investigator, contact, or site information.
overall_officials	nct_id	Core	Sponsor, responsible party, investigator, contact, or site information.
overall_officials	role	Core	Sponsor, responsible party, investigator, contact, or site information.
overall_officials	name	Core	Sponsor, responsible party, investigator, contact, or site information.
overall_officials	affiliation	Core	Sponsor, responsible party, investigator, contact, or site information.
participant_flows	id	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
participant_flows	nct_id	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
participant_flows	recruitment_details	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
participant_flows	pre_assignment_details	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
participant_flows	units_analyzed	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
pending_results	id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
pending_results	nct_id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
pending_results	event	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
pending_results	event_date_description	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
pending_results	event_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
provided_documents	id	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
provided_documents	nct_id	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
provided_documents	document_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
provided_documents	has_protocol	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
provided_documents	has_icf	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
provided_documents	has_sap	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
provided_documents	document_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
provided_documents	url	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
reported_events	id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
reported_events	nct_id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
reported_events	result_group_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
reported_events	ctgov_group_code	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
reported_events	time_frame	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
reported_events	event_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
reported_events	default_vocab	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
reported_events	default_assessment	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
